documento,numero,fecha,grupo1,tipo,pedido,numpedido
18007709,330.63,18/10/18,PACO CANTERO,Factura,Pedido,20067
18007710,55.81,18/10/18,PACO CANTERO,Factura,Pedido,20016
18007711,561.98,18/10/18,PACO CANTERO,Factura,Pedido,20113
18007712,284.94,18/10/18,PACO CANTERO,Factura,Pedido,18354
18007713,138.65,18/10/18,PACO CANTERO,Factura,Pedido,20068
18007714,3382.39,18/10/18,PACO CANTERO,Factura,Pedido,18009
18007715,1838.95,18/10/18,PACO CANTERO,Factura,Pedido,17055
18007716,10.11,18/10/18,PACO CANTERO,Factura,Pedido,20064
18007717,502.28,18/10/18,PACO CANTERO,Factura,Pedido,16383
18007718,39.44,18/10/18,PACO CANTERO,Factura,Pedido,19878
18008129,961.78,31/10/18,PACO CANTERO,Factura,Pedido,20169
18008128,493.30,31/10/18,PACO CANTERO,Factura,Pedido,20067
18008127,15.91,31/10/18,PACO CANTERO,Factura,Pedido,16164
18008336,1157.20,08/11/18,PACO CANTERO,Factura,Pedido,16994
18008337,171.05,08/11/18,PACO CANTERO,Factura,Pedido,16527
18005217,332.46,19/07/18,PACO CANTERO,Factura,Pedido,20531
18005216,250.70,19/07/18,PACO CANTERO,Factura,Pedido,19878
18005215,844.96,19/07/18,PACO CANTERO,Factura,Pedido,16383
18005214,210.25,19/07/18,PACO CANTERO,Factura,Pedido,20017
18005213,1572.48,19/07/18,PACO CANTERO,Factura,Pedido,18009
